City Name,Country,Latitude,Longitude,Temperature(F),Humidity(%),Cloudiness(%),Wind Speed(MpH)
carnarvon,au,-30.97,22.13,26.47,66,0,2.93
khatanga,ru,71.98,102.47,51.13,84,0,3.15
san vicente,ph,13.64,-88.78,79.7,78,75,14.99
atuona,pf,-9.8,-139.03,80.56,100,0,6.73
champerico,gt,16.38,-93.6,80.6,69,40,12.75
lorengau,pg,-2.02,147.27,79.03,100,64,5.17
tabasco,mx,21.87,-102.91,68.0,64,75,5.82
cape town,za,-33.93,18.42,51.8,81,75,9.17
kumeny,ru,58.11,49.92,50.5,78,56,15.46
vaini,to,15.34,74.49,70.39,98,92,7.74
altamira,br,-3.2,-52.21,79.39,78,8,2.15
mahebourg,mu,-20.41,57.7,68.0,68,20,8.08
new norfolk,au,-42.78,147.06,48.2,70,20,6.93
klaksvik,fo,62.23,-6.59,50.0,100,92,13.87
lourdes,fr,13.73,-89.37,83.1,78,75,14.99
punta arenas,cl,-53.16,-70.91,39.2,100,90,9.17
quelimane,mz,-17.88,36.89,73.4,88,0,3.36
nikolskoye,ru,59.7,30.79,55.4,76,0,11.18
busselton,au,-33.64,115.35,55.18,100,68,5.73
ancud,cl,-41.87,-73.83,46.18,95,92,11.77
vestmannaeyjar,is,63.44,-20.27,49.96,93,24,7.63
tual,id,-5.67,132.75,79.21,98,80,11.65
pisco,pe,-13.71,-76.2,62.6,82,40,13.87
rikitea,pf,-23.12,-134.97,69.58,100,8,19.71
hithadhoo,mv,-0.6,73.08,78.76,100,32,4.72
gazanjyk,tm,39.24,55.52,65.08,39,0,6.06
baoying,cn,33.24,119.31,78.76,84,0,15.01
hamilton,bm,32.3,-64.78,82.4,74,75,6.93
kapaa,us,22.08,-159.32,85.41,65,40,19.46
barrow,us,-38.31,-60.23,51.76,42,0,21.72
severo-kurilsk,ru,50.68,156.12,52.21,95,92,3.6
tautira,pf,-17.73,-149.15,82.4,51,75,9.17
thompson,ca,55.74,-97.86,75.2,47,90,19.46
harper,lr,30.3,-99.24,95.97,25,1,3.36
ushtobe,kz,45.25,77.98,47.8,73,0,2.82
ampanihy,mg,-24.69,44.75,56.26,58,0,2.93
seoul,kr,37.57,126.98,84.4,54,75,13.87
east london,za,-33.02,27.91,61.21,100,0,11.88
ribeira grande,pt,38.52,-28.7,73.72,100,88,6.73
saskylakh,ru,71.97,114.09,53.74,94,76,6.73
hobart,au,-42.88,147.33,48.2,70,20,6.93
yellowknife,ca,62.45,-114.38,50.0,46,75,8.05
puerto ayora,ec,-0.74,-90.35,77.0,65,0,14.99
bilma,ne,18.69,12.92,82.81,29,0,10.2
tasiilaq,gl,65.61,-37.64,42.8,97,12,10.29
aklavik,ca,68.22,-135.01,50.0,43,75,12.75
russas,br,-4.93,-37.97,81.01,64,0,9.98
rock sound,bs,24.9,-76.2,83.53,100,24,11.43
hofn,is,64.25,-15.21,47.98,100,68,7.96
hermanus,za,-34.42,19.24,46.0,97,92,3.15
butaritari,ki,3.07,172.79,81.01,100,48,9.42
saint-philippe,re,45.36,-73.48,64.45,76,90,4.7
sao joao da barra,br,-21.64,-41.05,74.17,94,24,16.24
bluff,nz,-23.58,149.07,66.25,46,0,4.61
lemgo,de,52.03,8.9,66.29,82,0,5.82
cidreira,br,-30.17,-50.22,52.75,97,0,12.21
mataura,pf,-46.19,168.86,44.2,100,92,4.72
erzin,ru,36.95,36.2,79.84,78,0,2.82
albany,au,42.65,-73.75,70.72,61,40,11.41
port elizabeth,za,39.31,-74.98,76.73,84,75,8.05
ushuaia,ar,-54.81,-68.31,41.0,86,75,13.87
watari,jp,38.04,140.87,86.0,74,40,11.41
salalah,om,17.01,54.1,73.4,100,90,3.36
constitucion,cl,23.99,-104.67,80.6,26,75,9.17
san jose,gt,15.79,120.99,75.16,99,100,3.6
bathsheba,bb,13.22,-59.52,80.6,78,75,24.16
tabuk,sa,17.41,121.44,76.24,80,76,3.6
jamestown,sh,-33.21,138.6,48.88,56,92,6.62
rawson,ar,-43.3,-65.11,62.65,17,92,13.22
bethel,us,60.79,-161.76,55.04,83,90,14.99
mitchell,us,43.71,-98.03,75.02,41,1,9.17
choix,mx,26.71,-108.33,77.68,89,92,1.48
leningradskiy,ru,69.38,178.42,43.48,92,88,10.09
kawardha,in,22.01,81.23,72.55,97,80,6.4
touros,br,-5.2,-35.46,76.78,82,48,16.02
ternate,id,14.29,120.72,84.2,89,75,12.75
tuktoyaktuk,ca,69.44,-133.03,42.8,70,75,11.41
takab,ir,36.4,47.11,45.73,85,0,2.82
