Compound,Date,Negative,Neutral,Positive,Screen_Name
0.0,Tue Sep 04 19:31:06 +0000 2018,1.0,0.0,0.0,BBC
0.9054,Tue Sep 04 19:03:06 +0000 2018,0.615,0.0,0.385,BBC
-0.1195,Tue Sep 04 18:32:01 +0000 2018,0.593,0.212,0.195,BBC
-0.34,Tue Sep 04 18:06:10 +0000 2018,0.684,0.188,0.128,BBC
0.624,Tue Sep 04 16:06:05 +0000 2018,0.786,0.0,0.214,BBC
-0.5423,Tue Sep 04 13:07:03 +0000 2018,0.8,0.2,0.0,BBC
0.5994,Tue Sep 04 12:51:26 +0000 2018,0.794,0.0,0.206,BBC
0.3612,Tue Sep 04 12:36:34 +0000 2018,0.884,0.0,0.116,BBC
0.0,Tue Sep 04 12:16:24 +0000 2018,1.0,0.0,0.0,BBC
0.0,Tue Sep 04 12:00:20 +0000 2018,1.0,0.0,0.0,BBC
-0.5216,Tue Sep 04 11:11:08 +0000 2018,0.781,0.219,0.0,BBC
-0.3182,Tue Sep 04 10:20:54 +0000 2018,0.674,0.197,0.13,BBC
0.0,Tue Sep 04 08:00:01 +0000 2018,1.0,0.0,0.0,BBC
0.0,Tue Sep 04 07:01:04 +0000 2018,1.0,0.0,0.0,BBC
-0.5267,Mon Sep 03 19:02:03 +0000 2018,0.732,0.268,0.0,BBC
-0.8625,Mon Sep 03 18:31:04 +0000 2018,0.593,0.407,0.0,BBC
0.0258,Mon Sep 03 18:03:03 +0000 2018,0.675,0.16,0.165,BBC
0.0,Mon Sep 03 16:00:26 +0000 2018,1.0,0.0,0.0,BBC
-0.4939,Mon Sep 03 13:11:02 +0000 2018,0.856,0.144,0.0,BBC
-0.3818,Mon Sep 03 11:57:08 +0000 2018,0.794,0.206,0.0,BBC
0.6514,Sat Sep 01 15:25:34 +0000 2018,0.829,0.0,0.171,CBS
0.0,Fri Aug 31 21:26:49 +0000 2018,1.0,0.0,0.0,CBS
0.0,Fri Aug 31 18:01:01 +0000 2018,1.0,0.0,0.0,CBS
-0.6908,Thu Aug 30 19:45:51 +0000 2018,0.761,0.239,0.0,CBS
0.6239,Thu Aug 30 15:32:47 +0000 2018,0.83,0.0,0.17,CBS
0.0,Mon Aug 27 23:36:57 +0000 2018,1.0,0.0,0.0,CBS
-0.4389,Fri Aug 24 20:30:16 +0000 2018,0.879,0.121,0.0,CBS
0.0,Wed Aug 22 20:55:25 +0000 2018,1.0,0.0,0.0,CBS
0.0,Wed Aug 22 20:10:12 +0000 2018,1.0,0.0,0.0,CBS
0.5423,Mon Aug 20 21:59:56 +0000 2018,0.829,0.0,0.171,CBS
0.3182,Fri Aug 17 17:42:02 +0000 2018,0.887,0.0,0.113,CBS
0.0,Thu Aug 16 18:40:09 +0000 2018,1.0,0.0,0.0,CBS
-0.5267,Thu Aug 16 00:09:03 +0000 2018,0.72,0.188,0.092,CBS
0.0,Sun Aug 12 23:30:02 +0000 2018,1.0,0.0,0.0,CBS
0.4389,Sun Aug 12 15:04:59 +0000 2018,0.874,0.0,0.126,CBS
-0.3182,Sat Aug 11 18:00:00 +0000 2018,0.897,0.103,0.0,CBS
0.4926,Sat Aug 11 15:00:02 +0000 2018,0.856,0.0,0.144,CBS
0.8957,Fri Aug 10 22:28:55 +0000 2018,0.581,0.0,0.419,CBS
0.0,Fri Aug 10 19:59:14 +0000 2018,1.0,0.0,0.0,CBS
0.6696,Thu Aug 09 21:00:00 +0000 2018,0.745,0.0,0.255,CBS
0.0,Tue Sep 04 17:44:58 +0000 2018,1.0,0.0,0.0,fox
0.0,Mon Sep 03 23:11:00 +0000 2018,1.0,0.0,0.0,fox
0.7951,Mon Sep 03 22:37:42 +0000 2018,0.772,0.0,0.228,fox
0.296,Thu Aug 30 00:10:58 +0000 2018,0.796,0.075,0.128,fox
